year	device	poppct	pop
2001	128.5	45	285.6
2002	141.8	49	289.4
2003	160.6	54	297.4
2004	184.7	62	297.9
2005	213.0	71	300.0
2006	241.8	80	302.3
2007	263.0	86	305.8
2008	279.6	91	307.3
2009	290.7	94	309.3
2010	301.8	97	311.1
2011	317.3	102	311.1
